Date,y_0,y_1,y_2,y_3
21/03/2015,10.37737347,13.12854978,12.08994857,12.157085
24/03/2015,10.5537349,13.16574814,12.11191838,12.26580284
25/03/2015,10.6835943,13.20919198,12.11847078,12.30601436
26/03/2015,10.41134304,13.1934067,12.10632957,12.27243627
27/03/2015,10.4328626,13.17144457,12.10986272,12.27020556
28/03/2015,10.43591326,13.19148501,12.12200393,12.29221917
31/03/2015,10.62827007,13.05408444,12.14159689,12.28247448
01/04/2015,10.55258059,13.08242931,12.11500186,12.29427377
02/04/2015,10.53007163,13.16938562,12.11545153,12.22799815
03/04/2015,10.38553606,13.05374128,12.09823542,12.13137311
04/04/2015,10.57146174,13.03013199,12.1150661,12.15814165
07/04/2015,10.67823502,13.16533635,12.12020524,12.14951232
08/04/2015,10.63989558,13.36580942,12.13356699,12.16553822
09/04/2015,10.71649201,13.51755402,12.13228221,12.26850318
10/04/2015,10.70033173,13.56552755,12.14288168,12.28646628
11/04/2015,10.47144939,13.67609315,12.13003384,12.28218096
14/04/2015,10.45322785,13.59943159,12.10787131,12.27912841
15/04/2015,10.40672582,13.74197954,12.1198198,12.35250708
16/04/2015,10.12054045,13.69194706,12.10613685,12.19753133
17/04/2015,9.903036267,13.76888315,12.09926325,12.1890781
18/04/2015,9.867747491,13.80203224,12.10119043,12.2410302
21/04/2015,9.860079603,13.8366226,12.12836362,12.30043758
22/04/2015,9.986476081,13.86263399,12.11962708,12.30319661
23/04/2015,9.957288636,13.85453546,12.12425231,12.34839788
24/04/2015,9.954732674,13.85110388,12.12508742,12.37927562
25/04/2015,10.04897349,13.88926308,12.12900601,12.39571245
28/04/2015,,,,12.39506671
29/04/2015,,,,12.3948319
30/04/2015,10.38479401,13.87004621,12.13954124,12.42729463
01/05/2015,10.75953112,13.88830223,12.15014071,12.52022138
02/05/2015,10.45619607,13.90875447,12.15688583,12.40833358
05/05/2015,,,,12.40768784
06/05/2015,10.69554961,14.03750746,12.15572952,12.50572175
07/05/2015,10.79935467,14.06633275,12.17949803,12.58978436
08/05/2015,11.21375043,14.05974411,12.21078253,12.64613918
09/05/2015,10.8962339,14.07257823,12.20146784,12.57510862
12/05/2015,10.87215838,14.01774154,12.21071829,12.5027866
13/05/2015,11.05091087,14.03606619,12.21817004,12.53507322
14/05/2015,11.13113512,14.06482286,12.221382,12.53425138
15/05/2015,11.0869417,14.01101564,12.23140331,12.47918802
16/05/2015,11.20187757,14.04848852,12.22440124,12.54194146
19/05/2015,11.19157127,13.96523832,12.23570734,12.54153054
20/05/2015,11.20880341,13.94485472,12.23467951,12.53548414
21/05/2015,11.14960401,14.00813311,12.22844831,12.5366582
22/05/2015,11.18192457,13.9430703,12.20924079,12.55104042
23/05/2015,11.36504693,13.9825335,12.21560047,12.63839039
26/05/2015,11.51766264,13.90847994,12.24065376,12.59624168
27/05/2015,11.66285781,13.9977011,12.20763481,12.63158085
28/05/2015,11.57471832,14.10291343,12.19440153,12.63210918
29/05/2015,11.36471713,14.11554165,12.21290242,12.61520273
30/05/2015,11.39093636,14.10620775,12.22575026,12.61003687
02/06/2015,11.2783091,13.98081771,12.21951906,12.50161255
03/06/2015,11.42523573,13.86235947,12.22787016,12.51047669
04/06/2015,11.53629643,13.94663914,12.21232427,12.48922623
05/06/2015,11.60654418,13.97745476,12.24161735,12.49685761
06/06/2015,11.60184451,14.01204511,12.25073932,12.55327113
09/06/2015,11.89000869,13.91177426,12.26808391,12.56554005
10/06/2015,11.94896073,13.90971531,12.26712032,12.60158365
11/06/2015,12.05631117,13.95041388,12.28350132,12.64021018
12/06/2015,11.89957294,14.05727337,12.27341576,12.67619508
13/06/2015,12.07247145,14.04485104,12.27996816,12.75732255
16/06/2015,12.02275385,14.13208188,12.270525,12.75779217
17/06/2015,11.99661707,14.16454466,12.26506466,12.7843259
18/06/2015,11.8524113,14.1845851,12.25266649,12.86275302
19/06/2015,11.90328321,14.22487188,12.26930445,12.87566767
20/06/2015,11.7410208,14.24635359,12.28716295,12.86339875
23/06/2015,,,,12.86269432
24/06/2015,11.80112715,14.31059282,12.2749575,12.92703274
25/06/2015,11.65486012,14.3103183,12.28549273,12.8783093
26/06/2015,11.52739179,14.31073009,12.29410079,12.83692373
27/06/2015,11.37114826,14.19234048,12.32467865,12.6665678
30/06/2015,10.96219423,14.22864662,12.30463602,12.59941164
01/07/2015,10.99261843,14.24587317,12.31921832,12.49885351
02/07/2015,11.24994616,14.41196178,12.30579232,12.61637679
03/07/2015,10.83208748,14.44044392,12.3014883,12.58561645
04/07/2015,10.97868431,14.46213152,12.29634916,12.60181846
07/07/2015,10.7657149,14.43934581,12.30791222,12.59313043
08/07/2015,10.69769332,14.40146114,12.2978909,12.5565585
09/07/2015,10.69068503,14.36096846,12.26056792,12.54153054
10/07/2015,10.64599691,14.4072262,12.24277366,12.51405757
11/07/2015,10.86737626,14.42157021,12.23859811,12.580568
14/07/2015,10.92509155,14.45067004,12.24656377,12.60874541
15/07/2015,10.66487805,14.38190112,12.23654245,12.46521672
16/07/2015,11.1368242,14.42225653,12.25106051,12.57640009
17/07/2015,11.15578779,14.46672984,12.26345868,12.59512633
18/07/2015,11.05346683,14.47132817,12.27013956,12.55297762
21/07/2015,11.14828481,14.468377,12.29191665,12.53096402
22/07/2015,11.14383248,14.35101687,12.28671328,12.46351434
23/07/2015,11.17969841,14.34820297,12.29737699,12.50014497
24/07/2015,11.14210102,14.41429526,12.2978909,12.55438649
25/07/2015,11.1163765,14.43728686,12.30540689,12.56096122
28/07/2015,11.27080611,14.43310033,12.32249452,12.6264737
29/07/2015,11.08257183,14.50070251,12.31831897,12.65782106
30/07/2015,11.16996926,14.53597919,12.33649867,12.66985517
31/07/2015,11.09188873,14.60481674,12.32827605,12.64032759
01/08/2015,11.08182978,14.63981888,12.33347943,12.61831399
04/08/2015,11.27014651,14.59527694,12.35133793,12.66967906
05/08/2015,11.36504693,14.61229759,12.35345782,12.72691442
06/08/2015,11.37197277,14.53481245,12.34863988,12.70777727
07/08/2015,11.39225557,14.60749337,12.35172336,12.72620999
08/08/2015,11.3393224,14.63803446,12.35223728,12.70824689
11/08/2015,11.38557708,14.60866011,12.35840424,12.75738125
12/08/2015,11.57620243,14.62465129,12.36714077,12.78074502
13/08/2015,11.52664974,14.60419905,12.38165884,12.75937715
14/08/2015,11.45631954,14.52458633,12.38577015,12.71176906
15/08/2015,,,,12.71153425
18/08/2015,11.45747384,14.55094089,12.38821124,12.82107394
19/08/2015,11.40635459,14.35808593,12.39938886,12.79471632
20/08/2015,11.22397428,14.3497815,12.38101644,12.75145225
21/08/2015,11.29216077,14.45561152,12.39431396,12.82013469
22/08/2015,11.28152467,14.44394413,12.39148744,12.83956536
25/08/2015,11.18695405,14.80673108,12.40337169,12.88729085
26/08/2015,10.90390179,14.85827345,12.39559875,12.92808939
27/08/2015,10.98396114,14.82162415,12.40574854,12.90167307
28/08/2015,10.83926067,14.82546752,12.40491343,12.8643967
29/08/2015,11.03879066,14.81448645,12.42720444,12.95996509
01/09/2015,10.88939052,14.83946838,12.41898182,12.94986818
02/09/2015,10.87924912,14.90020739,12.43536282,13.02125096
03/09/2015,10.7339715,14.91921836,12.43253629,12.95303814
04/09/2015,10.48521861,15.03280376,12.4304164,12.90179048
05/09/2015,10.62851742,15.14618325,12.43060912,13.01520455
08/09/2015,10.6639711,15.12833902,12.4140354,13.05705975
09/09/2015,10.66149759,15.15551716,12.41133735,12.9842094
10/09/2015,10.74518475,15.20733406,12.40491343,13.01626121
11/09/2015,10.88939052,15.2165307,12.42161563,12.96372208
12/09/2015,10.99880221,15.26978887,12.42007389,12.96982718
15/09/2015,11.02774231,15.30341838,12.41525595,13.02735606
16/09/2015,11.10326688,15.32750809,12.42110171,12.95403609
17/09/2015,11.03417344,15.14082999,12.44866034,12.75180447
18/09/2015,10.84948452,15.16155675,12.44185098,12.756442
19/09/2015,10.99195883,15.24398337,12.44409935,12.85124725
22/09/2015,,,,12.85048411
23/09/2015,10.85690506,15.28523099,12.43015944,12.84302883
24/09/2015,10.85880142,15.27651477,12.43645489,12.8323449
25/09/2015,10.8250792,15.24336568,12.45135838,12.86868202
26/09/2015,10.87760011,15.25434675,12.46035187,12.87126495
29/09/2015,10.84750571,15.26827897,12.46684003,12.86486633
30/09/2015,10.80776461,15.24693453,12.46112274,12.85905474
01/10/2015,10.78863612,15.24240484,12.46568373,12.88106834
02/10/2015,10.76233444,15.32428241,12.46889569,12.97229271
03/10/2015,10.73273474,15.33073378,12.47609048,12.98238961
06/10/2015,10.68309959,15.29394721,12.46587645,12.92069282
07/10/2015,11.04579895,15.20651048,12.48476278,12.94752007
08/10/2015,10.99426744,15.18207761,12.47962364,12.89145876
09/10/2015,10.95749456,15.16135085,12.46831754,12.89797479
10/10/2015,10.87487925,15.21948186,12.46343536,12.84860561
13/10/2015,10.78715201,15.20747132,12.45469882,12.79677092
14/10/2015,10.79737586,15.23053156,12.43818934,12.8203695
15/10/2015,10.45504176,15.22373703,12.4661334,12.708423
16/10/2015,10.3716844,15.13156471,12.44955969,12.71716974
17/10/2015,10.31537077,15.22325661,12.45463458,12.68558755
20/10/2015,10.32097739,15.33842053,12.44930273,12.75562016
21/10/2015,10.26507602,15.26018044,12.44955969,12.6885227
22/10/2015,10.41439371,15.2126187,12.44268609,12.69016638
23/10/2015,10.51894083,15.22963935,12.44210794,12.71411718
24/10/2015,10.71022578,15.22483513,12.45065175,12.78368016
27/10/2015,10.64137969,15.28852531,12.46035187,12.79459891
28/10/2015,10.50038949,15.16320391,12.43182966,12.75556146
29/10/2015,10.5241352,15.18152856,12.42803955,12.79377707
30/10/2015,10.33515886,14.99519361,12.41377844,12.66944425
31/10/2015,10.35494696,14.96712326,12.40594126,12.66081491
03/11/2015,,,,12.66011048
04/11/2015,10.18419216,15.06814906,12.37998862,12.60510583
05/11/2015,10.2627674,15.06478611,12.38551319,12.61620068
06/11/2015,10.12392091,14.97391779,12.37658394,12.52450669
07/11/2015,9.955639628,15.00219404,12.34908956,12.51769715
10/11/2015,10.22896274,15.04316714,12.35666978,12.5707059
11/11/2015,10.35469961,15.04172587,12.36983882,12.58831679
